Time,Size,Location,County,State,Lat,Lon,Comments
1510,125,8 ESE Chappel,San Saba,TX,31.02,-98.44,1.25 inch hail reported at Colorado Bend State Park. (SJT)
1703,100,3 SE Burleson,Johnson,TX,32.5,-97.29,Quarter hail reported. (FWD)
1704,100,Anthon,Woodbury,IA,42.39,-95.87,Report via social media. (FSD)
1709,100,2 SE Kennedale,Tarrant,TX,32.63,-97.21,Report from mPING: Quarter (1.00 in.). (FWD)
1710,175,2 NE Kennedale,Tarrant,TX,32.77,-97.31,Golf ball hail reported at Little Rd and I20 in SE Fort Worth. (FWD)
1710,175,Ravenna,Buffalo,NE,41.02,-98.91,Also reports of dime to half-dollar size hail in Ravenna. (GID)
1711,100,Arlington,Tarrant,TX,32.69,-97.13,Quarter hail reported in Arlington. (FWD)
1719,175,2 NE Arlington,Tarrant,TX,32.71,-97.11,Report from mPING: Golf Ball (1.75 in.). (FWD)
1725,125,2 N Ravenna,Sherman,NE,41.06,-98.91,Started to cover the ground with quarter to half-dollar size hail. (GID)
1730,125,4 NNW Washta,Cherokee,IA,42.63,-95.75,Quarter to Half Dollar sized hail reported by the Cherokee County EM. Time matched up to Radar. (FSD)
1747,100,Cleghorn,Cherokee,IA,42.81,-95.71,Report and photo via social media. (FSD)
1754,100,1 NW Mount Vernon,Franklin,TX,33.18,-95.23,Corrects previous hail report from 1 NW Mount Vernon. (SHV)
1755,100,5 SSW Paullina,O'Brien,IA,42.91,-95.73,Quarter sized hail and heavy rain. (FSD)
1830,100,6 S Western,Jefferson,NE,40.31,-97.18,(OAX)
1915,175,6 WSW Cedar Rapids,Boone,NE,41.54,-98.26,(OAX)
1924,100,Denton,Lancaster,NE,40.74,-96.85,Report of hail ranging from half an inch to an inch in Denton... NE. (OAX)
1927,100,1 SE Denton,Lancaster,NE,40.73,-96.84,ground covered with hail. (OAX)
1935,175,Ulysses,Butler,NE,41.08,-97.2,Butler County Emergency Manager reported golf ball sized hail in downtown Ulysses. (OAX)
1941,150,4 NW Lincoln,Lancaster,NE,40.86,-96.74,(OAX)
1948,175,5 NNW Lincoln,Lancaster,NE,40.87,-96.73,(OAX)
1948,175,5 NW Lincoln,Lancaster,NE,40.87,-96.74,Report from mPING: Golf Ball (1.75 in.). (OAX)
1949,125,6 SE Malcolm,Lancaster,NE,40.85,-96.79,(OAX)
1951,100,2 N Howard,Elk,KS,37.5,-96.26,(ICT)
1954,250,3 E Davey,Lancaster,NE,40.99,-96.6,delayed report time estimated by radar. (OAX)
2001,100,2 NW Severy,Greenwood,KS,37.64,-96.25,(ICT)
2002,275,3 ESE Ceresco,Saunders,NE,41.05,-96.59,Corrects previous hail report from 3 ESE Ceresco. Corrects previous hail report from 3 ESE Ceresco for wrong date. Delayed report from 4/26. (OAX)
2003,150,4 W Moline,Elk,KS,37.36,-96.38,(ICT)
2005,100,4 N Genoa,Nance,NE,41.5,-97.73,Report on Facebook of Quarter sized hail north of Genoa. (GID)
2012,150,3 NW Fall River,Greenwood,KS,37.64,-96.07,(ICT)
2031,100,5 SW Ramona,Lake,SD,44.07,-97.29,Mostly pea to dime sized hail... but a few as big as a quarter. No damage to anything... since crops are not up yet. (FSD)
